huc12,ele_std,ele_below_10th_mean,ele_hi,slope_below_10th_mean,slope_above_90th_mean,slope_cv,asp_mean,asp_var,asp_pc1,prof_mean,prof_std,prof_pct_neg,plan_mean,plan_std,plan_pct_neg,flow_mean,flow_95pct,flow_pct_high,hand_surface,hand_shallow,hand_deep,twi_median,twi_90pct
080101000702,13.797119,58.84727,0.19407216,0.003680298,15.090163,1.8678744,201.36577,0.89266926,-2.240693160438994,0.004839407,0.82511175,48.12333721499829,0.00490676,0.6514468,47.45672725779437,576.2832,26.0,4.45882034983823,83.21669513462736,10.083720525066129,6.6995843403065125,9.283716,11.798827
080101000703,9.293352,56.761215,0.22695628,1.2938302e-05,9.543129,1.7638257,240.00732,0.85624546,-2.945348317423433,0.005749802,0.69042605,44.959664523382955,0.0061342157,0.38303363,44.33598598190346,9287.255,63.0,7.495316677847473,90.43428484200885,8.51003370008102,1.0556814579101252,9.168893,11.671515
080101000704,3.4562244,54.727238,0.30113912,0.000562916,7.4325147,1.8638165,238.46513,0.83222103,-3.978407548098522,0.0041172733,0.5812022,45.42434030481271,0.0045336625,0.33866054,46.39335795064717,16395.75,84.0,8.993234479615802,96.37248005804804,3.6275199419519613,0.0,9.353851,11.89889
080102110302,7.596699,58.340954,0.21035679,0.0,11.02761,1.6349057,259.93738,0.87509555,-1.5499885293786837,0.0049033416,0.6740558,41.69919204920058,0.005972022,0.42404062,42.91308827760936,1842.8033,212.0,19.624871154049696,89.55323317624837,8.74860157769497,1.698165246056658,8.801358,11.265072
080102100304,11.129044,87.41702,0.5165019,0.19008584,7.9183292,0.8805997,225.36064,0.94616824,-0.13574311848262427,0.0004171961,0.6172041,49.98846279744071,0.00025167986,0.41188058,47.66194267411487,725.5161,46.0,5.843172258963227,70.93910529640807,28.9146190360004,0.14627566759152819,8.649345,11.190357
080102090404,13.402942,81.85158,0.4336563,0.18198037,8.174383,0.9367876,305.08954,0.9213664,2.0911487436855154,0.000989996,0.62377876,49.189402883865895,0.0010685751,0.41401672,48.344527382427806,619.3375,26.0,4.481306295362857,74.0313370674481,25.498745854694416,0.46991707785746883,8.771969,11.330555
080102090406,9.409594,65.4412,0.3539119,0.14929865,9.0079365,1.0722754,221.40698,0.9429095,-0.7159092810926934,0.0042262636,0.61764365,48.7529946792006,0.004152295,0.38758677,48.74292655153674,1037.154,55.0,6.4776312727417045,75.75202095962797,23.9271599880938,0.32081905227823965,8.82093,11.254628
080102100308,9.691891,65.31964,0.411769,0.17503022,8.602733,1.1224079,258.68622,0.96337587,0.8262808549248147,0.0077514644,0.64550376,49.91827426357711,0.007467317,0.37424126,47.90051822651371,3740.6858,47.0,6.149181058309983,83.42732609807842,16.15431200699719,0.4183618949243907,8.886468,11.278054
080102110103,11.00675,69.4887,0.45169806,0.23426627,8.060896,1.0984268,304.0298,0.9548747,2.055805327011064,0.0029798667,0.63732237,51.59574864703242,0.0028857724,0.35631964,48.5965275944741,2033.0791,57.0,6.562763484763699,83.71736386688002,16.2203501634696,0.06228596965037836,8.986597,11.329561
080102110301,13.34568,70.81063,0.50543004,0.21556774,8.835364,0.9156069,262.53372,0.9209877,0.13543412962399534,0.0031490375,0.63746375,50.02954955593408,0.003370507,0.42212683,48.08117712269583,779.71893,33.0,5.066088588304933,73.05271956231812,26.768443222037817,0.17883721564407082,8.619595,10.990583
080102110102,10.309404,83.89078,0.33220643,0.21387401,7.2009077,1.0363437,323.8875,0.96291417,2.3740109133157676,0.0011647881,0.5965112,51.41200144256681,0.0011737962,0.3455163,48.56496306394851,596.6016,43.0,5.743934303844718,83.95823763494093,15.709104005095536,0.3326583599635296,8.933844,11.32795
080102100306,9.12638,73.77704,0.38093168,0.1685049,8.060691,1.0180191,305.97842,0.9450085,2.250864846913778,0.0042900895,0.6425458,50.49240455627315,0.004231595,0.3750079,47.76837289672911,3119.36,59.0,6.734520526042291,79.11906755956026,20.820023238184774,0.060909202254964594,8.8244915,11.260478
080102100305,10.415353,80.61017,0.37828556,0.15101017,8.041859,1.0219414,302.31628,0.9543575,1.842853366078284,0.0030324045,0.61841637,50.359784784658586,0.0031238496,0.39025918,47.98359879872438,1009.5646,38.0,5.344951564373359,80.61583465506574,18.864376177196128,0.5197891677381302,8.824554,11.302878
080102110201,7.119786,69.62427,0.5995413,0.35361117,8.456708,0.8622133,331.26822,0.9458571,2.8729833776750398,0.005352662,0.62075317,50.90983192072274,0.0055728746,0.39918283,49.074570241841954,298.42883,28.0,4.64223485936393,72.35006578765305,27.59131653295295,0.05861767939399886,8.648394,10.907518
080102100307,11.593655,78.084206,0.4560212,0.24864486,7.2622843,0.9541712,253.03549,0.9107034,-0.41256013468369007,0.00035352117,0.59593374,51.410889906747414,0.0003717569,0.3606715,48.44973542165349,556.1338,46.0,5.836096413874191,80.80112698321636,19.1915425264057,0.007330490377934587,8.84514,11.254401
080302040703,10.510048,58.914917,0.65922546,0.04015162,12.133363,1.7917632,220.3924,0.88442594,-2.47073146962963,0.004501128,0.7511743,47.69975960504495,0.0034914138,0.5157782,48.34555221540917,786.98395,51.0,6.965231153744568,84.85738219845092,12.224528512175334,2.9180892893737425,9.556182,12.366619
